epic_name,pl_orbper,pl_ratror,st_rad
EPIC 201155177,6.68796,3.04,0.64
EPIC 201205469,3.47114,6.6,0.57
EPIC 201208431,10.00329,,0.6
EPIC 201208431,10.0044,3.49,0.43
EPIC 201295312,5.65688,1.56,1.58
EPIC 201338508,10.9324,3.24,0.46
EPIC 201338508,5.73491,,0.52
EPIC 201338508,10.93406,,0.52
EPIC 201338508,5.73597,2.97,0.46
EPIC 201345483,1.7292684,13.76,0.45
EPIC 201367065,10.05443,3.51,0.37
EPIC 201367065,24.64745,,0.52
EPIC 201367065,44.5609,2.35,0.37
EPIC 201367065,10.05448,,0.52
EPIC 201367065,24.6435,2.88,0.37
EPIC 201384232,30.9349,2.2,1.01
EPIC 201384232,30.94191,,0.96
EPIC 201393098,28.6777,1.77,2.13
EPIC 201393098,28.67992,,0.96
EPIC 201403446,19.1541,1.45,1.29
EPIC 201445392,5.06408,2.79,0.8
EPIC 201445392,10.35176,,0.74
EPIC 201465501,18.44883,,0.25
EPIC 201505350,11.90724,4.44,1.01
EPIC 201505350,2.50858,1.1,1.01
EPIC 201505350,11.90691,,0.81
EPIC 201505350,7.91943,,0.81
EPIC 201505350,7.91952,7.446,1.01
EPIC 201546283,6.771315,4.74,1.03
EPIC 201549860,5.60906,2.55,0.6
EPIC 201549860,2.39991,1.64,0.6
EPIC 201577035,19.30691,,0.93
EPIC 201577035,19.3037,3.67,1.08
EPIC 201596316,39.8478,2.66,0.83
EPIC 201596316,39.93767,,5.15
EPIC 201613023,8.28176,1.87,1.31
EPIC 201613023,8.28212,,1.01
EPIC 201629650,39.91488,,0.78
EPIC 201635569,8.36926,10.66,0.39
EPIC 201635569,8.36802,,0.45
EPIC 201637175,1.143201,7.1,0.38
EPIC 201647718,31.6372,2.29,0.76
EPIC 201677835,20.5065,2.8,0.73
EPIC 201690311,2.77065,3.83,0.45
EPIC 201713348,5.34072,3.23,0.75
EPIC 201713348,1.422647,1.76,0.75
EPIC 201736247,11.8097,3.3,0.78
EPIC 201736247,11.8104,,0.68
EPIC 201754305,7.62067,,0.64
EPIC 201754305,19.07536,,0.64
EPIC 201754305,19.077,2.99,0.67
EPIC 201754305,7.61856,2.68,0.67
EPIC 201833600,8.7529,2.64,0.55
EPIC 201855371,17.9654,2.9,0.48
EPIC 201855371,17.96753,,0.66
EPIC 201912552,32.9418,5.17,0.4
EPIC 201912552,32.94488,,0.39
EPIC 202083828,14.5662,4.59,0.51
EPIC 202900527,13.0106,8.53,1.37
EPIC 203771098,20.88526,4.264,1.51
EPIC 203771098,42.36301,5.913,1.51
