epic, cmapaign, cdpp_6 [ppm], duration [days]
201122454, 1, 118.98181, 80.072488,
201123619, 1, 325.01166, 80.072490,
201124583, 1, 413.24643, 80.072482,
201126062, 1, 285.06058, 80.072487,
201126368, 1, 220.35745, 80.072475,
201127583, 1, 268.82764, 80.072466,
201129544, 1, 120.77773, 80.072473,
201129992, 1, 332.52304, 80.072466,
201130940, 1, 302.84561, 79.970317,
201131303, 1, 189.42230, 80.072482,
201133060, 1, 377.29004, 80.072471,
201133900, 1, 388.74475, 80.072473,
201134711, 1, 117.15128, 80.052043,
201134718, 1, 927.32556, 80.072467,
201134862, 1, 1375.0991, 80.072435,
201135995, 1, 268.89584, 80.072457,
201136404, 1, 396.90445, 80.072476,
201137359, 1, 284.41611, 80.072482,
201137508, 1, 97.144974, 80.052019,
201138070, 1, 5987.0654, 80.072430,
201138368, 1, 2814.3550, 80.072432,
201138561, 1, 116.48297, 80.072455,
201140042, 1, 1869.6223, 80.072427,
201140406, 1, 198.11595, 80.072440,
201140566, 1, 2520.7415, 80.072430,
201143664, 1, 307.19699, 80.072477,
201144407, 1, 417.64981, 80.072432,
201144622, 1, 395.74823, 80.072463,
201145426, 1, 169.56445, 80.072435,
201145502, 1, 225.75235, 80.072405,
201145519, 1, 1485.4386, 80.072412,
201146106, 1, 258.64810, 80.072462,
201146616, 1, 828.26465, 80.072430,
201147037, 1, 160.41020, 80.072401,
201147133, 1, 1006.9269, 80.072392,
201147492, 1, 1927.7393, 80.072428,
201148176, 1, 138.94736, 80.072408,
201148594, 1, 759.84894, 80.072397,
201148705, 1, 563.83484, 80.072402,
201148768, 1, 779.33551, 80.072408,
201148900, 1, 579.81195, 80.072386,
201149362, 1, 837.92731, 80.072429,
201149420, 1, 310.74127, 80.072452,
201149639, 1, 219.59485, 80.072398,
201149963, 1, 868.44202, 80.072405,
201151123, 1, 1148.5317, 80.072384,
201151442, 1, 888.29425, 80.072398,
201151496, 1, 1041.7488, 80.072398,
201151542, 1, 174.92300, 80.072463,
201151675, 1, 360.61661, 80.072379,
201151911, 1, 1414.7291, 80.072422,
201152081, 1, 207.83611, 79.970290,
201152122, 1, 898.68903, 80.072400,
201152126, 1, 465.63855, 80.072398,
201153187, 1, 2833.3293, 80.072391,
201153345, 1, 2307.9270, 80.072382,
201153579, 1, 604.90100, 80.072400,
201153874, 1, 390.51511, 80.072452,
201154337, 1, 677.16718, 80.072425,
201154424, 1, 5564.7383, 80.072420,
201154593, 1, 268.24799, 80.072474,
201154745, 1, 5628.9688, 80.072423,
201154751, 1, 675.99988, 80.072384,
201154929, 1, 175.76559, 80.072456,
201155356, 1, 201.69110, 79.970229,
201155941, 1, 3402.3828, 80.072426,
201156077, 1, 657.40930, 80.072383,
201156081, 1, 736.72272, 80.072408,
201156186, 1, 1090.0397, 80.072381,
201156219, 1, 625.79669, 80.072422,
201156244, 1, 169.81110, 80.072406,
201156316, 1, 392.46793, 80.072467,
201156341, 1, 290.48364, 80.072384,
201156557, 1, 2278.5972, 80.072425,
201156820, 1, 760.46906, 80.072398,
201156830, 1, 150.40366, 80.072392,
201156840, 1, 455.05560, 80.072399,
201157015, 1, 231.99478, 80.072455,
201157250, 1, 160.03845, 80.072454,
201157270, 1, 419.25732, 80.072398,
201157518, 1, 721.46063, 80.072375,
201158367, 1, 238.52109, 80.072468,
201158602, 1, 215.67346, 80.072394,
201158659, 1, 431.87515, 80.072401,
201159182, 1, 1441.4783, 80.072408,
201159893, 1, 755.90594, 80.072396,
201159946, 1, 797.47821, 80.072400,
201160015, 1, 640.51410, 80.072393,
201160803, 1, 1759.8082, 80.072403,
201160813, 1, 88.812813, 80.072359,
201161008, 1, 2253.3455, 80.072406,
201161117, 1, 813.67432, 80.072376,
201161236, 1, 3462.6714, 80.072385,
201161425, 1, 186.40076, 80.051988,
201161499, 1, 175.66901, 80.072421,
201161738, 1, 395.53970, 80.072375,
201161951, 1, 4506.2236, 80.072382,
201162814, 1, 2291.1270, 80.072419,
201163095, 1, 450.22562, 80.072403,
201163216, 1, 1258.0013, 80.051957,
201163416, 1, 355.19699, 80.072382,
201163478, 1, 1504.4238, 80.072397,
201163585, 1, 729.64923, 80.072421,
201163859, 1, 1574.5306, 80.072417,
201164477, 1, 1271.5900, 80.072386,
201164894, 1, 3306.4224, 80.072385,
201165011, 1, 459.89197, 80.072378,
201165085, 1, 2185.2976, 80.072381,
201165116, 1, 360.50513, 80.072356,
201165141, 1, 603.93555, 80.072382,
201165258, 1, 677.55560, 80.072378,
201165265, 1, 473.87711, 80.072394,
201165284, 1, 372.36859, 80.072423,
201165355, 1, 240.49077, 80.072419,
201165391, 1, 826.46844, 80.072401,
201165416, 1, 225.95619, 80.072460,
201165790, 1, 751.45215, 80.072418,
201165795, 1, 256.05328, 80.072447,
201166730, 1, 346.97940, 80.072346,
201167141, 1, 31.755762, 80.072419,
201167398, 1, 192.12592, 80.072345,
201167550, 1, 717.11670, 80.072419,
201167652, 1, 1471.8268, 80.072392,
201167737, 1, 6700.6323, 80.072380,
201168428, 1, 1259.7969, 80.072400,
201168696, 1, 2332.0125, 80.072414,
201168733, 1, 180.71848, 80.072429,
201168884, 1, 150.84880, 80.072435,
201168957, 1, 173.64526, 80.072367,
201169284, 1, 358.92911, 80.072343,
201169812, 1, 533.07086, 80.072412,
201169830, 1, 330.85825, 80.072336,
201169856, 1, 1823.6984, 80.072392,
201170018, 1, 596.33453, 80.072398,
201170542, 1, 2570.3572, 80.072378,
201171265, 1, 4828.9126, 80.051983,
201171706, 1, 2720.2708, 80.072392,
201172043, 1, 2063.3992, 80.072385,
201172063, 1, 373.23303, 80.072415,
201172293, 1, 404.33072, 79.970180,
201172326, 1, 502.04340, 80.072397,
201172569, 1, 3692.9436, 80.072392,
201172962, 1, 184.13307, 80.072427,
201173200, 1, 291.52908, 80.072333,
201173209, 1, 704.59967, 80.072372,
201173274, 1, 361.44012, 80.072388,
201173329, 1, 305.51721, 79.970214,
201173412, 1, 613.68658, 80.072387,
201173627, 1, 760.28229, 80.072374,
201173775, 1, 373.80902, 80.072409,
201173845, 1, 311.99985, 80.072409,
201173888, 1, 139.85480, 80.072455,
201173891, 1, 358.72653, 80.072345,
201173987, 1, 545.98920, 80.072416,
201174763, 1, 233.72632, 80.072423,
201174849, 1, 97.654884, 80.072412,
201174877, 1, 767.54840, 80.072382,
201174881, 1, 41.960037, 80.072347,
201175137, 1, 702.91998, 80.072384,
201175515, 1, 294.26779, 80.072335,
201175849, 1, 384.44986, 80.072461,
201176015, 1, 526.82544, 80.072384,
201176072, 1, 423.33905, 80.072340,
201176195, 1, 204.59741, 80.072390,
201176421, 1, 341.58127, 80.072335,
201176426, 1, 1783.2563, 80.072398,
201176429, 1, 546.32697, 80.072391,
201176620, 1, 1048.4087, 80.072383,
201176671, 1, 802.67377, 80.072378,
201176711, 1, 271.86438, 80.072462,
201176788, 1, 511.13214, 80.072419,
201177002, 1, 294.77298, 80.051894,
201177997, 1, 57.037292, 80.072440,
201178067, 1, 3206.2041, 80.072369,
201178223, 1, 773.07678, 80.072388,
201178300, 1, 742.48199, 80.072381,
201178308, 1, 1398.0854, 80.072408,
201178501, 1, 93.601791, 80.072390,
201178756, 1, 456.91595, 80.072389,
201178802, 1, 165.13522, 80.072435,
201179141, 1, 618.59161, 80.072382,
201179349, 1, 587.39111, 80.072376,
201179466, 1, 205.13824, 80.072347,
201179543, 1, 1314.9775, 80.072389,
201179828, 1, 1194.3041, 80.072411,
201179999, 1, 3671.6978, 80.072397,
201180090, 1, 284.01144, 80.072453,
201180199, 1, 740.29828, 80.072370,
