EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
201136194,11 42 30.482,-05 37 58.07,1,9.716,,4937-970-1,422-054536,11423047-0537580,,STAR,gri,rav,-10.9,1.7,-3,1.8,,,11.249,0.104,10.243,0.06,,,10.812,0.04,9.691,0.04,9.246,0.01,,,7.738,0.021,7.087,0.051,6.892,0.027,,,,,,,,,4233,102,102,1.544,0.115,0.138,-0.384,0.15,0.15,27.852,5.403,3.313,1.02,0.138,0.061,4.47E-05,2.07E-05,1.64E-05,1170,167.2,146.3,0.033,0.017,0.014,,,
201143243,11 47 31.812,-05 27 31.32,1,9.81,,4937-881-1,423-056842,11473181-0527311,,STAR,gri,rav,46.4,1.3,-44.8,1.4,,,10.064,0.025,9.584,0.022,,,10.767,0.03,9.619,0.04,9.399,0.02,,,8.702,0.03,8.509,0.063,8.426,0.023,,,,,,,,,6550,131,158,4.256,0.065,0.104,-0.098,0.1,0.14,1.358,0.202,0.128,1.265,0.095,0.095,0.463,0.127,0.149,155.4,24.84,15.62,0.024,0.013,0.01,,,
201146022,11 40 33.025,-05 23 22.60,1,9.956,,4937-938-1,424-055294,11403302-0523226,,STAR,gri,rav,-23.4,1.8,-17.3,1.9,,,10.331,0.039,10.038,0.041,,,10.154,0.06,9.89,0.04,9.863,0.02,,,9.221,0.024,9.064,0.022,8.97,0.023,,,,,,,,,6434,154,154,3.96,0.13,0.13,-0.079,0.1,0.14,1.927,0.49,0.331,1.407,0.16,0.16,0.173,0.108,0.076,285.5,74.59,50.21,0.028,0.016,0.009,,,
201147711,11 46 21.088,-05 20 56.01,1,8.926,57422,4937-969-1,424-055442,11462110-0520560,,STAR,gri,plx,-57.29,1.57,6.56,0.76,5.26,1.83,8.879,0.018,8.54,0.014,,,10.085,0.26,9.257,0.26,8.429,0.04,,,7.841,0.029,7.661,0.033,7.596,0.026,,,,,,,,,6420,307,256,3.88,0.204,0.17,0.029,0.1,0.12,2.193,0.779,0.491,1.539,0.19,0.19,0.123,0.109,0.066,190.1,66.14,66.14,0.025,0.014,0.01,,,
201150552,11 32 53.983,-05 16 57.90,1,9.225,,4936-194-1,424-055096,11325397-0516579,,STAR,gri,rpm,-24,1.3,5.2,1.4,,,10.673,0.079,9.636,0.042,,,10.056,0.03,9.158,0.04,8.869,0.02,,,7.593,0.024,7.057,0.027,6.878,0.026,,,,,,,,,4687,75,56,2.473,0.19,0.114,-0.107,0.15,0.15,11.256,0.585,1.587,1.323,0.405,0.225,9.31E-04,6.87E-04,1.92E-04,503.8,32.32,47.7,0.033,0.014,0.012,,,
201151359,11 47 31.462,-05 15 49.03,1,8.566,57536,4937-1052-1,424-055472,11473146-0515490,,STAR,gri,plx,-26.41,0.77,-38.7,0.38,9.19,0.9,8.785,0.017,7.952,0.011,,,10.065,0.18,9.036,0.12,7.924,0.06,,,6.508,0.019,6.145,0.044,5.999,0.027,,,,,,,,,5052,443,100,3.488,0.145,0.145,-0.197,0.25,0.4,3.29,0.54,0.464,1.294,0.229,0.344,0.033,0.02,0.011,108.8,10.66,10.66,0.017,0.01,0.005,,,
201153232,11 44 22.013,-05 13 06.70,1,9.837,,4937-1106-1,424-055388,11442201-0513066,,STAR,gri,rav,-52,1.4,8.6,1.5,,,10.337,0.049,9.764,0.04,,,10.037,0.05,9.77,0.09,9.426,0.03,,,8.677,0.029,8.412,0.046,8.349,0.023,,,,,,,,,6054,145,121,4.272,0.1,0.16,0.02,0.1,0.1,1.275,0.281,0.149,1.143,0.098,0.082,0.512,0.211,0.217,135.1,28.83,17.43,0.021,0.013,0.008,,,
201159953,11 35 56.560,-05 03 27.79,1,9.477,,4936-29-1,425-055600,11355656-0503276,,STAR,gri,rav,-26.4,1.3,-4.3,1.4,,,10.198,0.039,9.698,0.035,,,9.855,0.09,9.42,0.04,9.315,0.04,,,8.578,0.029,8.385,0.051,8.297,0.023,,,,,,,,,6150,147,122,3.956,0.156,0.13,-0.036,0.1,0.12,1.905,0.423,0.346,1.32,0.158,0.158,0.168,0.108,0.066,196.3,44.1,42.38,0.025,0.013,0.009,,,
201162929,11 47 50.590,-04 59 10.47,1,9.897,,4934-742-1,426-055698,11475058-0459104,,STAR,gri,rpm,4.8,1.6,-16.3,1.7,,,11.102,0.061,10.034,0.032,,,10.741,0.26,9.886,0.05,9.536,0.09,,,8.302,0.02,7.769,0.055,7.643,0.026,,,,,,,,,4720,142,142,2.422,0.33,0.15,-0.206,0.25,0.4,10.861,1.713,2.953,1.174,0.304,0.217,8.99E-04,0.002,3.32E-04,683.4,85.16,155.6,0.032,0.015,0.013,,,
201162999,11 39 39.797,-04 59 04.08,1,8.819,56884,4933-553-1,426-055499,11393980-0459041,,STAR,gri,plx,-54.32,1.17,-13.75,0.95,16.94,1.22,9.451,0.028,8.813,0.02,,,9.499,0.14,8.964,0.19,8.527,0.05,,,7.64,0.03,7.363,0.042,7.226,0.017,,,,,,,,,5735,168,135,4.461,0.035,0.049,-0.064,0.15,0.21,0.958,0.067,0.045,0.996,0.051,0.081,1.099,0.148,0.155,59.03,4.251,4.251,0.013,0.005,0.006,,,
201163267,11 43 18.917,-04 58 42.07,1,9.659,,4934-754-1,426-055587,11431890-0458420,,STAR,gri,rpm,-0.6,1.6,-1.9,1.7,,,10.814,0.075,10.039,0.051,,,10.368,0.02,9.773,0.14,9.355,0.06,,,8.23,0.018,7.744,0.04,7.637,0.016,,,,,,,,,4918,120,120,2.447,0.45,0.09,-0.424,0.32,0.2,10.432,0.808,3.597,1.084,0.657,0.126,9.82E-04,0.003,2.16E-04,650.8,43.34,208.8,0.029,0.016,0.009,,,
201164031,11 39 55.945,-04 57 38.93,1,8.569,56907,4933-546-1,426-055508,11395595-0457389,,STAR,gri,plx,-53.19,0.75,-201.57,0.72,15.97,0.85,9.306,0.024,8.595,0.018,,,9.338,0.15,8.815,0.22,8.239,0.09,,,7.294,0.024,7.007,0.024,6.909,0.024,,,,,,,,,5987,142,118,4.355,0.05,0.07,-0.035,0.15,0.24,1.12,0.073,0.058,1.07,0.067,0.094,0.716,0.125,0.126,62.62,3.333,3.333,0.012,0.006,0.005,,,
