# EPIC, Campaign
201122454,1
201123619,1
201124583,1
201126062,1
201126368,1
201127583,1
201129544,1
201129992,1
201130940,1
201131303,1
201133060,1
201133900,1
201134711,1
201134718,1
201134862,1
201135995,1
201136404,1
201137359,1
201137508,1
201138070,1
201138368,1
201138561,1
201140042,1
201140406,1
201140566,1
201143664,1
201144407,1
201144622,1
201145426,1
201145502,1
201145519,1
201146106,1
201146616,1
201147037,1
201147133,1
201147492,1
201148176,1
201148594,1
201148705,1
201148768,1
201148900,1
201149362,1
201149420,1
201149639,1
201149963,1
201151123,1
201151442,1
201151496,1
201151542,1
201151675,1
201151911,1
201152081,1
201152122,1
201152126,1
201153187,1
201153345,1
201153579,1
201153874,1
201154337,1
201154424,1
201154593,1
201154745,1
201154751,1
201154929,1
201155356,1
201155941,1
201156077,1
201156081,1
201156186,1
201156219,1
201156244,1
201156316,1
201156341,1
201156557,1
201156820,1
201156830,1
201156840,1
201157015,1
201157250,1
201157270,1
201157518,1
201158367,1
201158602,1
201158659,1
201159182,1
201159893,1
201159946,1
201160015,1
201160803,1
201160813,1
201161008,1
201161117,1
201161236,1
201161425,1
201161499,1
201161738,1
201161951,1
201162814,1
201163095,1
201163216,1
201163416,1
201163478,1
201163585,1
201163859,1
201164477,1
201164894,1
201165011,1
201165085,1
201165116,1
201165141,1
201165258,1
201165265,1
201165284,1
201165355,1
201165391,1
201165416,1
201165790,1
201165795,1
201166730,1
201167141,1
201167398,1
201167550,1
201167652,1
201167737,1
201168428,1
201168696,1
201168733,1
201168884,1
201168957,1
201169284,1
201169812,1
201169830,1
201169856,1
201170018,1
201170542,1
201171265,1
201171706,1
201172043,1
201172063,1
201172293,1
201172326,1
201172569,1
201172962,1
201173200,1
201173209,1
201173274,1
201173329,1
201173412,1
201173627,1
201173775,1
201173845,1
201173888,1
201173891,1
201173987,1
201174763,1
201174849,1
201174877,1
201174881,1
201175137,1
201175515,1
201175849,1
201176015,1
201176072,1
201176195,1
201176421,1
201176426,1
201176429,1
201176620,1
201176671,1
201176711,1
201176788,1
201177002,1
201177997,1
201178067,1
201178223,1
201178300,1
201178308,1
201178501,1
201178756,1
201178802,1
201179141,1
201179349,1
201179466,1
201179543,1
201179828,1
201179999,1
201180090,1
201180199,1
201180326,1
201180957,1
201181269,1
201181415,1
201181471,1
201181629,1
201181946,1
201182066,1
201182393,1
201182490,1
201182911,1
201183294,1
201183428,1
201183525,1
201183994,1
201184068,1
201184362,1
201184549,1
201184584,1
201184655,1
201185365,1
201185368,1
201185457,1
201185577,1
201185604,1
201185905,1
201185910,1
201186227,1
201186545,1
201186633,1
201186806,1
201188107,1
201188657,1
201188885,1
201189238,1
201189380,1
201189489,1
201189518,1
201189903,1
201189968,1
201189990,1
201190257,1
201190558,1
201190754,1
201191173,1
201191250,1
201191433,1
201191470,1
201191486,1
201192001,1
201192037,1
201192080,1
201192139,1
201192452,1
201192642,1
201192661,1
201193448,1
201193591,1
201193597,1
201193630,1
201194206,1
201194247,1
201194317,1
201195593,1
201195700,1
201195748,1
201196429,1
201196841,1
201197205,1
201197593,1
201197597,1
201197718,1
201198232,1
201198340,1
201198853,1
201199104,1
201199177,1
201199213,1
201199556,1
201199609,1
201200709,1
201201221,1
201201584,1
201201605,1
201202065,1
201202200,1
201202230,1
201202258,1
201202388,1
201202491,1
201202614,1
201203093,1
201203138,1
201203275,1
201203297,1
201203742,1
201203957,1
201204261,1
201204268,1
201204580,1
201204715,1
201204782,1
201204808,1
201204860,1
201205469,1
201205590,1
201205648,1
201205741,1
201205972,1
201206091,1
201206470,1
201206565,1
201206645,1
201206773,1
201207332,1
201208142,1
201208212,1
201208421,1
201208431,1
201208433,1
201208496,1
201208499,1
201209123,1
201209949,1
201209957,1
201210002,1
201210268,1
201210415,1
201210448,1
201210616,1
201211081,1
201211117,1
201211139,1
201211805,1
201211859,1
201212375,1
201212408,1
201212579,1
201213064,1
201213161,1
201213277,1
201214378,1
201214521,1
201214777,1
201214930,1
201214943,1
201216156,1
201216277,1
201216313,1
201216445,1
201217081,1
201217734,1
201218098,1
201218177,1
201218611,1
201218662,1
201218770,1
201218774,1
201218785,1
201219006,1
201219166,1
201219544,1
201219579,1
201219762,1
201219817,1
201219907,1
201220064,1
201220237,1
201220417,1
201220693,1
201220889,1
201220907,1
201221014,1
201221058,1
201221419,1
201221495,1
201221597,1
201221612,1
201221645,1
201221659,1
201221731,1
201222038,1
201222078,1
201222171,1
201222233,1
201222359,1
201222543,1
201222650,1
201222893,1
201223149,1
201223298,1
201223317,1
201223827,1
201224069,1
201224192,1
201224542,1
201224593,1
201224995,1
201225128,1
201225640,1
201225697,1
201225808,1
201225905,1
201226235,1
201226279,1
201226380,1
201226468,1
201226609,1
201226617,1
201226723,1
201226945,1
201226951,1
201226955,1
201227026,1
201227144,1
201227253,1
201227345,1
201227456,1
201227474,1
201227674,1
201227874,1
201228421,1
201228832,1
201229345,1
201229393,1
201229550,1
201229706,1
201229770,1
201230145,1
201230238,1
201230297,1
201230332,1
201230523,1
201230665,1
201230694,1
201231156,1
201231394,1
201231462,1
201231586,1
201231940,1
201231945,1
201231946,1
201232006,1
201232016,1
201232054,1
201232220,1
201232255,1
201232589,1
201233020,1
201233196,1
201233220,1
201233351,1
201233375,1
201233446,1
201233534,1
201233579,1
201234273,1
201234395,1
201234594,1
201234609,1
201234915,1
201234927,1
201234956,1
201235024,1
201235437,1
201235556,1
201235572,1
201235619,1
201235798,1
201235991,1
201236041,1
201236172,1
201236433,1
201236530,1
201236740,1
201236820,1
201236999,1
201237203,1
201237257,1
201237334,1
201237416,1
201237630,1
201238166,1
201238229,1
201238474,1
201238699,1
201238749,1
201238804,1
201238944,1
201239039,1
201239166,1
201239251,1
201239253,1
201239401,1
201239501,1
201239746,1
201239992,1
201240084,1
201240162,1
201240295,1
201240414,1
201240677,1
201241002,1
201241039,1
201241449,1
201241483,1
201241563,1
201241667,1
201241745,1
201241779,1
201242012,1
201242139,1
201242315,1
201242435,1
201242596,1
201242666,1
201242695,1
201242731,1
201242879,1
201243003,1
201243013,1
201243398,1
201243922,1
201244357,1
201244437,1
201244456,1
201244499,1
201244667,1
201244836,1
201245065,1
201245093,1
201245233,1
201245705,1
201245803,1
201245982,1
201246008,1
201246144,1
201246146,1
201246161,1
201246229,1
201246302,1
201246338,1
201246342,1
201246349,1
201246449,1
201246963,1
201247003,1
201247091,1
201247383,1
201247497,1
201247574,1
201247635,1
201247645,1
201247676,1
201247890,1
201247961,1
201248032,1
201248219,1
201248254,1
201248545,1
201248605,1
201248647,1
201248886,1
201249247,1
201249311,1
201249315,1
201249344,1
201249739,1
201249966,1
201250153,1
201250366,1
201250742,1
201250776,1
201250907,1
201251371,1
201251380,1
201252056,1
201252103,1
201252111,1
201252233,1
201252475,1
201252476,1
201252869,1
201253219,1
201253640,1
201253686,1
201253698,1
201253969,1
201254054,1
201254192,1
201254423,1
201254473,1
201254485,1
201254853,1
201254860,1
201254875,1
201254931,1
201254976,1
201255251,1
201255260,1
201255660,1
201255815,1
201255863,1
201255972,1
201256072,1
201256364,1
201256540,1
201256600,1
201256883,1
201257148,1
201257566,1
201257852,1
201257950,1
201258065,1
201258171,1
201258213,1
201258410,1
201258507,1
201258852,1
201259151,1
201259188,1
201259311,1
201259355,1
201259493,1
201259679,1
201259938,1
201259962,1
201260027,1
201260235,1
201260284,1
201260662,1
201260947,1
201261407,1
201261754,1
201262366,1
201262449,1
201262469,1
201262497,1
201262557,1
201262606,1
201263014,1
201263320,1
201263353,1
201263800,1
201263889,1
201264179,1
201264207,1
201264302,1
201264346,1
201264581,1
201265102,1
201265634,1
201265713,1
201265717,1
201265757,1
201265814,1
201266618,1
201266772,1
201267101,1
201267238,1
201267341,1
201267664,1
201267690,1
201267918,1
201268019,1
201268053,1
201268111,1
201268284,1
201268546,1
201268724,1
201268834,1
201268987,1
201269180,1
201269344,1
201269521,1
201269535,1
201269591,1
201269592,1
201269867,1
201269874,1
201270046,1
201270095,1
201270491,1
201270635,1
201270658,1
201270714,1
201270778,1
201270984,1
201271189,1
201271197,1
201271230,1
201271355,1
201271768,1
201272216,1
201272345,1
201272536,1
201272609,1
201272697,1
201272877,1
201272921,1
201272989,1
201273122,1
201273299,1
201273850,1
201273936,1
201273937,1
201274029,1
201274176,1
201274921,1
201275006,1
201275184,1
201275219,1
201275488,1
201275645,1
201275887,1
201275920,1
201276142,1
201276227,1
201276278,1
201276503,1
201276544,1
201276676,1
201276706,1
201276841,1
201276990,1
201277067,1
201277477,1
201278022,1
201278080,1
201278191,1
201278917,1
201278952,1
201278995,1
201279154,1
201279671,1
201279762,1
201279772,1
201279841,1
201280266,1
201280267,1
201280771,1
201280852,1
201280924,1
201281436,1
201281720,1
201281728,1
201281761,1
201281812,1
201282142,1
201282160,1
201282712,1
201283224,1
201283226,1
201283289,1
