,EPIC, Noise, R_s, Duration,T_e
0,201122454,118.98181,0.634113,80.072488,4022.4697136
1,201123619,325.01166,0.492473,80.07249,3700.2820379
2,201124583,413.24643,0.317609,80.072482,3365.27941272
3,201126062,285.06058,0.540407,80.072487,3797.285688
4,201126368,220.35745,0.631627,80.072475,4015.25947852
5,201127583,268.82764,0.606809,80.072466,3948.54534383
6,201129544,120.77773,0.518101,80.072473,3751.34360841
7,201129992,332.52304,0.600184,80.072466,3932.01074159
8,201130940,302.84561,0.625193,79.970317,3997.10828687
9,201131303,189.4223,0.648683,80.072482,4067.45503063
10,201133060,377.29004,0.656528,80.072471,4094.16771355
11,201133900,388.74475,0.480318,80.072473,3676.54562833
12,201134711,117.15128,0.401496,80.052043,3526.46100152
13,201134718,927.32556,0.514248,80.072467,3743.56317577
14,201134862,1375.0991,0.288095,80.072435,3305.64813422
15,201135995,268.89584,0.650543,80.072457,4073.59976258
16,201136404,396.90445,0.559371,80.072476,3837.83376293
17,201137359,284.41611,0.549132,80.072482,3815.74727091
18,201137508,97.144974,0.507946,80.052019,3730.92286864
19,201138070,5987.0654,0.261436,80.07243,3249.26929785
20,201138368,2814.355,0.488317,80.072432,3692.1350969
21,201138561,116.48297,0.628796,80.072455,4007.18702105
22,201140042,1869.6223,0.214123,80.072427,3139.51266682
23,201140406,198.11595,0.585296,80.07244,3896.29886741
24,201140566,2520.7415,0.181851,80.07243,3051.78399764
25,201143664,307.19699,0.560546,80.072477,3840.40024104
26,201144407,417.64981,0.569377,80.072432,3859.92404308
27,201144622,395.74823,0.503217,80.072463,3721.50065862
28,201145426,169.56445,0.655313,80.072435,4089.88908372
29,201145502,225.75235,0.545891,80.072405,3808.8518296
30,201145519,1485.4386,0.632388,80.072412,4017.45533044
31,201146106,258.6481,0.309177,80.072462,3348.48106508
32,201146616,828.26465,0.610662,80.07243,3958.37575498
33,201147037,160.4102,0.491534,80.072401,3698.43925326
34,201147133,1006.9269,0.482948,80.072392,3681.65947344
35,201147492,1927.7393,0.258397,80.072428,3242.64554985
36,201148176,138.94736,0.489903,80.072408,3695.2415759
37,201148594,759.84894,0.489757,80.072397,3694.95403037
38,201148705,563.83484,0.619383,80.072402,3981.28012967
39,201148768,779.33551,0.5676,80.072408,3855.96071858
40,201148900,579.81195,0.480954,80.072386,3677.78050237
41,201149362,837.92731,0.22418,80.072429,3164.2566149
42,201149420,310.74127,0.574242,80.072452,3870.86656205
43,201149639,219.59485,0.54638,80.072398,3809.89052016
44,201149963,868.44202,0.213997,80.072405,3139.19731602
45,201151123,1148.5317,0.241727,80.072384,3205.41727274
46,201151442,888.29425,0.652724,80.072398,4080.94807384
47,201151496,1041.7488,0.270818,80.072398,3269.44517826
48,201151542,174.923,0.651157,80.072463,4075.65432229
49,201151675,360.61661,0.634893,80.072379,4024.75640252
50,201151911,1414.7291,0.321938,80.072422,3373.84043533
