,EPIC,Planet,Campaign,P,Rp/Rstar,Rstar,Rp_J,Rp_E,Probs,Mass
0,211331236,211331236.01,5,1.291673904,0.03804371414,0.484028282,0.1850676744,2.007241587,0.121255002735,0.511053850764
1,211331236,211331236.02,5,5.444537409,0.03081289768,0.484028282,0.1498926023,1.625733214,0.0464687437712,0.511053850764
2,211428897,211428897.01,5,1.611351008,0.02378436476,0.34980387,0.08361671196,0.9069057696,0.0850370214712,0.359359075594
3,211428897,211428897.02,5,2.178789969,0.01892049353,0.34980387,0.0665172046,0.7214447354,0.0695437169024,0.359359075594
4,211509553,211509553.01,5,20.36335545,0.1811335133,0.482888404,0.8790680718,9.534360866,0.0192556373092,0.50983209497
5,211770795,211770795.01,5,7.730439607,0.03027781698,0.694657115,0.2113839296,2.292667349,0.0470582773141,0.721529721848
6,211799258,211799258.01,5,19.52510487,0.2230221469,0.299276614,0.6708071655,7.275565786,0.0146874569943,0.297475353089
7,211916756,211916756.01,5,10.13175195,0.07063935225,0.226,0.1604471719,1.740207939,0.0195470531362,0.201823418285
8,211924657,211924657.01,5,2.64485609,0.04860859318,0.311104439,0.1519834082,1.648410067,0.0569592729136,0.312234176346
9,211970234,211970234.01,5,1.48366687,0.1770228146,0.436,0.7756979615,8.413209995,0.103241177512,0.458655958629
10,212006344,212006344.01,5,2.219899213,0.01771969198,0.520248634,0.092649704,1.004877484,0.0886727916073,0.549356674906
11,212069861,212069861.01,5,30.96565093,0.03806282699,0.576194069,0.2204178408,2.390649033,0.0163965389856,0.60666450168
12,212152341,212152341.01,5,6.676385665,0.3225940043,0.124309252,0.4030293404,4.37125098,0.0220265984339,0.0540560668384
13,212154564,212154564.01,5,6.415560358,0.06327957983,0.283,0.1799811165,1.952072847,0.0298736867104,0.276874441608
14,212354731,212354731.01,6,20.39827188,0.1265913145,0.227,0.2888063155,3.132389539,0.0122863078202,0.203182295192
15,212565386,212565386.01,6,24.43140364,0.2040633784,0.495558326,1.016334736,11.02315332,0.0173493589295,0.523355046292
16,212628098,212628098.01,6,4.353538988,0.3434009911,0.639927704,2.208560882,23.95402258,0.0651744154285,0.669476974652
17,213951550,213951550.01,7,1.11680046,0.109,0.338,0.3686012904,3.997844799,0.106334969041,0.345167441698
18,216892056,216892056.01,7,2.786608243,0.024,0.382775006,0.09187621288,0.9964882091,0.0624131883255,0.398207094232
19,216915207,216915207.01,7,0.5475362829,0.061,0.24,0.146635379,1.590405412,0.14095670747,0.220703843493
20,219624311,219624311.01,7,3.849893476,0.157,0.605,0.9542993652,10.35031849,0.0680563572335,0.635362849678
